,CODE,STATION NAME,RAILWAY ZONE,STATION ADDRESS
1691,CK,CHIKSUGUR,SCR,"Chaksu, Rajasthan, India"
1692,CKA,CHAK PAKHEWALA,NR,"Punjab 152033, India"
1693,CKB,CHAUTH KA BRWRA,NWR,"Chauth Ka Brwra Railway Station, Chaut.."
1694,CKBK,CHIKKABENAKAL,SWR,"Hire Benkal, Karnataka, India"
1695,CKD,CHARKHI DADRI,NWR,"Charkhi Dadri Railway Station, Charkhi.."
1696,CKDL,CHAKDAYALA,NR,"Chakdayala Station, NH 1A, Chak Dayala"
1697,CKE,CHOKI SORATH,WR,"Choki Sorath, Gujarat, India"
1698,CKG,CHOWKA GHAT,NER,"Chowka Ghat Bridge, Chaukaghat, Varana.."
1699,CKH,CHAKAND,ECR,"Patna - Gaya Road, Chakand, Bihar, India"
1700,CKHS,CHIKHLI,CR,"Mumbai - Pune Expy, Maharashtra 410206.."
1701,CKHT,CHANKA HALT,ECR,"Jakhani, Bihar 802215, India"
1702,CKI,CHALAKUDI,SR,"Chalakudy, Kerala, India"
1703,CKK,CHAKARPUR,NER,"Champawat, Uttarakhand, India"
1704,CKKD,CHARKHEDA KHURD,WCR,"East Nimar, Madhya Pradesh, India"
1705,CKLA,CHAK BANWALA,NR,"Punjab 152033, India"
1706,CKLT,CHAKKALI LAI H,NR,"Uttar Pradesh, India"
1707,CKM,CHAUKI MAN,NR,"Punjab 142023, India"
1708,CKMI,CHHOTAKI MASAUDHI H,ECR,"Chhotki Masaurhi, Bihar 804454, India"
1709,CKN,CHINTAKANI,SCR,"Chintakani, Andhra Pradesh, India"
1710,CKNA,CHIKNA F,ECR,Indian Sub-Continent
1711,CKNI,CHIKNI ROAD,CR,"Maharashtra, India"
1712,CKOD,CHAKROD,WR,"Shajapur, Madhya Pradesh, India"
1713,CKP,CHAKRADHARPUR,SER,"South Eastern Railway Colony, Jharkhan.."
1714,CKR,CHIKODI ROAD,SWR,"Belgaum, Karnataka, India"
1715,CKRD,CHAKMAKRAND,ECR,"Chakmakrand Railway Station, Desari, B.."
1716,CKS,CHAKSU,NWR,"Jaipur, Rajasthan, India"
1717,CKSR,CHAKSAFAURA H,NER,"Pilibhit, Uttar Pradesh, India"
1718,CKTD,CHITRAKOOTDHAM,NCR,"Uttar Pradesh, India"
1719,CKU,CHAKULIA,SER,"Chakulia, Jharkhand, India"
1720,CKV,CHERUKUVADA,SCR,"Cherukara, Kerala, India"
1721,CKVD,CHIKKANDAWADI H,SWR,"Chikkanahalli, Karnataka, India"
1722,CKW,CHALKHOWA,NFR,"AT Rd, Saguni Bari Gaon, Assam 786002,.."
1723,CKX,CHAKUR,SCR,"Chakur, Maharashtra, India"
1724,CKYD,CHAKRA ROAD H,NER,"Chakra Tirtha Rd, Puri, Odisha, India"
1725,CLA,KURLA JN,CR,"Kurla, Mumbai, Maharashtra, India"
1726,CLC,CHALALA,WR,"Dholarva Road, Chalala, Gujarat, India"
1727,CLD,CHALSA JN,NFR,"Chalsa, West Bengal, India"
1728,CLDR,CHILIKIDARA,ECOR,"Kendujhar, Orissa, India"
1729,CLDY,CHANDLODIYA,WR,"K.K. Nagar Society, Chandlodia, Ahmeda.."
1730,CLE,CHINTALPALLI,SCR,"Warangal, Andhra Pradesh, India"
1731,CLF,CHHULHA,SECR,"Shahdol, Madhya Pradesh, India"
1732,CLG,KAHALGAON,ER,"Kahalgaon, Bihar, India"
1733,CLHT,CHULHETA,WCR,"Purwai, Madhya Pradesh, India"
1734,CLI,CHALGERI,SWR,"Haveri, Karnataka, India"
1735,CLJ,COLONELGANJ,NER,"Colonelganj, Uttar Pradesh, India"
1736,CLKA,CHILKA,ECOR,"Barkul, Orissa, India"
1737,CLKN,CHUCHELA KALAN H,NR,"Jyotiba Phule Nagar, Uttar Pradesh, In.."
1738,CLN,KOLLIDAM,SR,"Kollidam Railway Station, Kollidam-Ala.."
1739,CLO,CHILO,NWR,"Chilo, Bhutan"
1740,CLPE,CHALLAVARIPALLE,SCR,"Challavaripalle, Andhra Pradesh 515411.."
1741,CLR,CASTLE ROCK,SWR,"Uttara Kannada, Karnataka, India"
1742,CLT,KOZHIKODE,SR,"Railway Station Road, Kozhikode, Keral.."
1743,CLU,CHILAKALAPUDI,SCR,"Chintalapudi, Andhra Pradesh, India"
1744,CLVR,CHILUVUR,SCR,"Chiluvuru Road, Chiluvuru, Andhra Prad.."
1745,CLW,CHILWARIYA,NER,"Bhilwara, Rajasthan, India"
1746,CLX,CHIRALA,SCR,"Chirala, Andhra Pradesh, India"
1747,CM,CAMPIERGANJ,NER,"Campierganj, Uttar Pradesh, India"
1748,CMA,CINNAMARA,NFR,"Jorhat CD Block Part, Assam 785008, In.."
1749,CMBR,CHEMBUR,CR,"Chembur, Mumbai, Maharashtra, India"
1750,CMC,CHEMANCHERI,SR,"Panvel - Kanyakumari Highway, Kerala, .."
1751,CMDG,CHAMARDIGHI,ER,"Kharjuli, West Bengal 713104, India"
1752,CMDP,CHIMIDIPALLI,ECOR,"Vishakhapatnam, Andhra Pradesh, India"
1753,CMGR,CHIKKAMAGALUR,SWR,
1754,CMJ,CHAMARAJAPURAM,SWR,"Chamarajapuram Railway Station, Sarasw.."
1755,CMMG,CHAMUNDA MARG,NR,"Chamunda Ln, Paschim Vihar, Vaishali N.."
1756,CMNR,CHAMARAJANAGAR,SWR,"Chamarajanagar, Karnataka, India"
1757,CMP,CHROMEPET,SR,"Chromepet, Tamil Nadu, India"
1758,CMR,CHAMROLA,NCR,"Uttar Pradesh, India"
1759,CMU,CHAU MAHLA,WCR,"Rajasthan, India"
1760,CMW,CHIMA PAHAD,SCR,"Unnamed Road, Relakayalapalle, Telanga.."
1761,CMX,CHAMAGRAM,ER,"Chamagram Rail Station, National Highw.."
1762,CMY,CHINTAMANI,SWR,"Chintamani Railway Station, Chintamani.."
1763,CMZ,CHALAMA,SCR,"Chalam Kondalu, Andhra Pradesh, India"
1764,CNA,CHANDERIYA,WR,"Chittorgarh, Rajasthan, India"
1765,CNB,KANPUR CENTRAL,NCR,"Kanpur Central, Jaipuria Road, Mirpur,.."
1766,CNBI,CHANDARI,NCR,"Kanpur Rd, Kanpur Cantonment, Kanpur, .."
1767,CNC,CHINCHLI,SWR,"Belgaum, Karnataka, India"
1768,CND,CHANDUR,CR,"Amravati, Maharashtra, India"
1769,CNDB,CHANDUR BAZAR,CR,"Maharashtra 444704, India"
1770,CNDI,CHANDI,ECR,
1771,CNDM,CHANDI MANDIR,NR,"Chandimandir Cantonment, Panchkula, Ha.."
1772,CNDN,CHANDAN,ER,"Chandan, Bihar 814131, India"
1773,CNE,CHANDRANATHPUR,NFR,"Chandrapur, Maharashtra, India"
1774,CNF,CHIANKI,ECR,"Chianki, Jharkhand, India"
1775,CNGR,CHENGANNUR,SR,"Chengannur, Kerala, India"
1776,CNH,CHAUNRAH,NCR,"Uttar Pradesh, India"
1777,CNI,CHANDIL JN,SER,"832401, India"
1778,CNJ,CHANDER NAGAR H,NR,"Chander Nagar, Ghaziabad, Uttar Prades.."
1779,CNK,CHANDOK,NR,"Bijnor, Uttar Pradesh, India"
1780,CNKH,CHINNAKOTE HALT,SWR,
1781,CNKP,CHANAKYAPURI,NR,"IB Colony, Chanakyapuri, New Delhi, De.."
1782,CNL,CHANDAWAL,NWR,"Pali, Rajasthan, India"
1783,CNN,CHINTAMAN GANESH,WR,"Sri Chintaman Ganesh Mandir, Madhya Pr.."
1784,CNO,CANCONA,KR,"Canacona, Goa, India"
1785,CNPA,CHANNARAYAPATNA,SWR,"Hassan, Karnataka, India"
1786,CNPI,CHANDANPAHARI,ER,"Narcha, Jharkhand 814118, India"
1787,CNPR,CHAINPUR,ECR,"Jharkhand 829134, India"
1788,CNR,CHANDAR,SWR,"Om Marg, Chander Nagar, Ghaziabad, Utt.."
1789,CNRF,CHANDRA,SER,"Chandra Taal, Himachal Pradesh"
1790,CNS,CHUCHURA,ER,"Chinsurah Station Rd, Hooghly-Chinsura.."
1791,CNV,KINATTUKKADAVU,SR,"Kinathukadavu, Tamil Nadu 642109, India"
1792,CNX,CHANDAUNA H,ECR,"Chandana, Rajasthan, India"
1793,COA,KAKINADA PORT,SCR,"Kakinada, Andhra Pradesh, India"
1794,COB,COOCH BEHAR,NFR,"Kalighat Road No 2, Cooch Behar, West .."
1795,COD,CHHOTA GUDHA,NWR,"Rajasthan, India"
1796,COE,CHITROD,WR,"Chitrod, Gujarat, India"
1797,COL,COROMANDEL,SWR,Coromandel Institute of Hotel Manageme..
1798,COM,CHOMUN SAMOD,NWR,"Jai Shri Veer Hanuman, Samod Mountain,.."
1799,COO,CHHOTI ODAI,WCR,"Sawai Madhopur, Rajasthan, India"
1800,COR,CHITTAURGARH,WR,"Chittorgarh, Rajasthan, India"
1801,CPA,KANPUR ANWRGANJ,NCR,"Anwarganj Railway Station, Darshan Pur.."
1802,CPB,KANPUR BRIDGE RB,NR,"Kanpur, Uttar Pradesh, India"
1803,CPBH,CHIRAILLA PAUTHU,ECR,"Bahuti, Bihar 824112, India"
1804,CPD,CHINCHPADA,WR,"Gangapur, Maharashtra, India"
1805,CPDR,CHHIPADOHAR,ECR,"Chhipitola, Rakabganj, Agra, Uttar Pra.."
1806,CPE,CHANDIPOSI,SER,"Sibaichandi, West Bengal"
1807,CPH,CHAMPA,SECR,"Champa, Chhattisgarh, India"
1808,CPHT,COOPERS HALT,ER,"Coopers Halt, Ranaghat, West Bengal 74.."
1809,CPJ,KAPTANGANJ JN,NER,"Kushinagar, Uttar Pradesh, India"
1810,CPK,CHAPARMUKH JN,NFR,"Chaparmukh, Assam, India"
1811,CPL,CHAKARLAPALLI,SWR,"Chakarlapalli, Andhra Pradesh, India"
1812,CPLE,CHINPAI,ER,"48 Ross River Road, Mundingburra QLD 4.."
1813,CPN,CHAMPANER RD JN,WR,"Jepura Bus Stop, SH 5, Gujarat, India"
1814,CPP,CHIPURUPALLE,ECOR,"Chipurupalle Railway station, Cheepuru.."
1815,CPPR,CHAMPAPUR HALT,ECR,
1816,CPQ,CHAPRAKATA,NFR,"Chaprakata, National Highway 31C, Assa.."
1817,CPR,CHHAPRA,NER,"Chhpara, Bihar, India"
1818,CPS,CHAND SIAU,NR,"Chand Siau Railway Station, State High.."
1819,CPT,CHANNAPATNA,SWR,"Channapatna, Karnataka, India"
1820,CPU,CHOPAN,ECR,"Chopan, Uttar Pradesh, India"
1821,CQA,CHERUKARA,SR,"Cherukara, Kerala, India"
1822,CQL,CHIRAKKAL H,SR,"Chirakkal, Kerala, India"
1823,CQR,CHAMPAPUKUR,ER,"Champapukur, West Bengal"
1824,CQS,CAPPER QUARRY,SR,"Capper Quarry Railway Station, NH 32, .."
1825,CRAE,CHERAGRAM BH.,ER,"Cheragram, West Bengal, India"
1826,CRC,CHARKHARI ROAD,NCR,"Uttar Pradesh, India"
1827,CRD,CURREY ROAD,CR,"Currey Rd, Parel, Mumbai, Maharashtra,.."
1828,CRDA,CHAKARDAHA HALT,ECR,"Barhepara, Bihar, India"
1829,CRE,CHORGHATPIPARIA,SECR,"Jabalpur, Madhya Pradesh, India"
1830,CRG,CHURAMAN NAGRI,WCR,"Churaman Nagri, Uttar Pradesh, India"
1831,CRJ,CHITTARANJAN,ER,"Chittaranjan Railway Station, Chittara.."
1832,CRK,CHARKHERA,WCR,"Charkhari, Uttar Pradesh, India"
1833,CRKR,CHAURAKHERI,WCR,"Baran, Rajasthan, India"
1834,CRL,CHORAL,WR,"Choral Railway Station, State Highway .."
1835,CRLM,KARAMELARAM,SWR,"Karnataka, India"
1836,CRN,CHAREGAON,SECR,"Newargaon, Madhya Pradesh 481551, India"
1837,CRND,CHORANDA JN,WR,"Choranda, Gujarat, India"
1838,CROA,CHAUTARA,NFR,"Chautara, Assam, India"
1839,CRP,CHANDRAPURA,ECR,"Jharkhand 828403, India"
1840,CRQ,CHARPOKHARI H,ECR,"Charpokhari, Dekura, Bihar 802223, India"
1841,CRR,KARAGOLA ROAD,ECR,"Bihar, India"
1842,CRU,CHUDAWA,SCR,"Hingoli, Maharashtra, India"
1843,CRV,CHUREB,NER,"Chureb, Uttar Pradesh, India"
1844,CRW,CHARAUD,NWR,"Bhiwani, Haryana, India"
1845,CRWA,CHIRAWA,NWR,"Jhunjhunu, Rajasthan, India"
1846,CRWL,CHAKRAKWALA,NR,"Sial-Jattan Sorap Road, Udhampur, Jamm.."
1847,CRX,CARRON,NFR,"Carron, Looksan, West Bengal 735205, I.."
1848,CRY,CHIRAYINKIL,SR,"Chirayinkeezhu Railway Station, Atting.."
1849,CS,CANNANORE SOUTH,SR,"Kannur, Kerala, India"
1850,CSA,CHAUSA,ECR,"Buxar, Bihar, India"
1851,CSB,SHIVAJI BRIDGE,NR,"Shivaji Bridge, Connaught Place, New D.."
1852,CSDR,CHANNASANDRA,SWR,"Channasandra, Karnataka, India"
1853,CSM,CANSAULIM,SWR,"Cansaulim Railway Station, Goa, India"
1854,CSMT,C SHIVAJI TERM MUMBAI,CR,"Mumbai, Maharashtra 400001, India"
1855,CSN,CHALISGAON JN,CR,"Chalisgaon, Maharashtra, India"
1856,CSR,CHAK SIKANDAR,ECR,"Chak Sikander, Bihar, India"
1857,CSZ,COSSIMBAZAR,ER,"Cossimbazar Railway Station., Berhampo.."
1858,CT,CHITTAPUR,SCR,"Chitapur Railway Station, Chitapur, Ka.."
1859,CTA,CHITRADURG,SWR,"Chitradurga, Karnataka, India"
1860,CTC,CUTTACK,ECOR,"Cuttack Railway Station, Cuttack, Odis.."
1861,CTD,CHHOTA UDEPUR,WR,"Chhota Udepur, Gujarat, India"
1862,CTF,CHITGIDDA,SCR,"Chitgidda, Andhra Pradesh, India"
1863,CTGN,COTTON GREEN,CR,"Abhyudaya Nagar, Parel, Mumbai, Mahara.."
1864,CTH,CHIKALTHAN,SCR,"Aurangabad, Maharashtra, India"
1865,CTHR,CHITAHRA,WCR,"Madhya Pradesh, India"
1866,CTHT,CHATAR,ECR,"Chatra, Jharkhand, India"
1867,CTJ,CHHATAINI,WCR,"Shahdol, Madhya Pradesh, India"
1868,CTKT,CHOTI KHATU,NWR,"Nagaur, Rajasthan, India"
1869,CTL,CHITAL,WR,"SH 34, Amreli, Gujarat, India"
1870,CTM,KATTANGULATUR,SR,"Kattankulathur, Tamil Nadu, India"
1871,CTMP,CHHIT MAKANDPUR,ER,"Sultanganj - Bhagalpur Rd, Bhaunathpur.."
1872,CTND,CHETTINAD,SR,"Sivaganga, Tamil Nadu, India"
1873,CTO,CHITTOOR,SCR,"Chittoor Railway Station, Thotapalyam,.."
1874,CTPE,CHANDANATTOP,SR,"Chandannagar, West Bengal, India"
1875,CTPR,CHINTAPARRU H,SCR,"Bageswaram - Vedangi Road, Andhra Prad.."
1876,CTQ,CHETAR,ECR,"6 Chester Hill Road, Chester Hill NSW .."
1877,CTR,CHATRA,ER,"Birbhum, West Bengal, India"
1878,CTRD,CHITRAWAD,WR,"Steshan Road, Borvav, Gujarat, India"
1879,CTRE,CHITTERI,SR,"Chittur, Kerala, India"
1880,CTS,CHATTRIPUT,ECOR,"Koraput, Orissa, India"
1881,CTT,CHITRASANI,NWR,"Banaskantha, Gujarat, India"
1882,CTTP,CHITRAPUR,KR,"Chitrapur, Karnataka 581354, India"
1883,CTU,CHHATAPUR ROAD,ECR,"Bhimpur, Bihar 854339, India"
1884,CTW,CHHINTANWALA,NR,"Chhindwara, Madhya Pradesh, India"
1885,CTYL,CHITYALA,SCR,"Nehrada to chityal Rd, Chityal, Andhra.."
1886,CTZ,CHAUNTRA BHATERH,NR,"Kangra, Himachal Pradesh, India"
1887,CU,CHAGALLU,SCR,"West Godavari, Andhra Pradesh, India"
1888,CUE,CHOUPALE,WR,"Nandurbar, Maharashtra, India"
1889,CUK,CHURK,NCR,"Churk, Uttar Pradesh, India"
1890,CUPJ,CUDDALORE PORT,SR,"Veerabadhrasamy Koil Street, Cuddalore.."
1891,CUR,CHURU,NWR,"National Highway 65, Churu, Rajasthan,.."
1892,CUX,CHAURA,ECR,"Jamui, Bihar, India"
1893,CV,CAUVERY,SR,"Cauvery River, Tamil Nadu"
1894,CVB,CAVALRY BARRCKS,SCR,"Lothkunta, Alwal, Secunderabad, Andhra.."
1895,CVD,CHAVADIPALAYAM,SR,"Devampalayam, Tamil Nadu, India"
1896,CVJ,CHAVAJ,WR,"Vadadla, Bharuch, Gujarat, India"
1897,CVP,KOVILPATTI,SR,"Kovilpatti, Tamil Nadu, India"
1898,CVR,CHORVAD ROAD,WR,"Junagadh, Gujarat, India"
1899,CVV,CHERUVUMADHAVARAM,SCR,"Madhavaram, Tamil Nadu, India"
1900,CW,CHAINWA,NER,"Chainwa, Bihar, India"
1901,CWA,CHHINDWARA JN,SECR,"Chhindwara, Madhya Pradesh, India"
1902,CWDA,CHUHRIWALA DHANNA,NR,"Punjab 152122, India"
1903,CWI,CHONDI,SCR,"Sibaichandi, West Bengal"
1904,CWLE,CHOWRIGACHA,ER,"Khagraghat - Chowrigacha, West Bengal,.."
1905,CWN,CHAREWAN H,NR,"Punjab 152115, India"
1906,CWR,CHOUVARA,SR,"Chavara, Kerala, India"
1907,CWT,CHOWHATTA,ER,"Chauhata, West Bengal 731201, India"
1908,CX,CHANOL,WR,"Rajkot, Gujarat, India"
1909,CXA,CHANDSARA H,NR,"Chandra Taal, Himachal Pradesh"
1910,CYI,CHHAYAPURI,WR,"Chhani, Vadodara, Gujarat 391740, India"
1911,CYN,CHERIYANAD,SR,"Cherianad, Kerala, India"
1912,CYR,CHARNI ROAD,WR,"Saifee Hospital, Girgaon, Mumbai, Maha.."
1913,D,DEULA,ER,"Deula, West Bengal, India"
1914,DAA,DATIA,NCR,"Datia Railway Station, Datia, Madhya P.."
1915,DAB,DHARMABAD,SCR,"Dharmabad, Maharashtra, India"
1916,DABN,DHABAN,NWR,"Dhaban, Rajasthan, India"
1917,DAC,DAHINSARA JN,WR,"Mota Dahisara, Gujarat 363660, India"
1918,DACT,DHAKA CANTT,BR,
1919,DAD,DEVARGUDDA,SWR,"Haveri, Karnataka, India"
1920,DADN,DR AMBEDKAR NGR,WR,"Jawahar Nagar, Mhow, Mhow, Indore, Mad.."
1921,DAE,DAHEGAON,CR,"Dahegaon, Andhra Pradesh, India"
1922,DAG,DHANG,ECR,"Dheng, Bihar, India"
1923,DAJ,DUROJI,SWR,"Duroji Station, Karnataka, India"
1924,DAKA,DHAKA,BR,"Dhaka Cantonment Station, Tongi Divers.."
1925,DAKE,DAKHINESWAR,ER,"Belgharia Expy, Ashokgarh, Kolkata, We.."
1926,DAL,DALIGANJ,NER,"Daliganj Railway Station, Daliganj, Lu.."
1927,DAM,DHAMORA,NR,"Dhamot, Punjab, India"
1928,DAN,DHANETA,NR,"Dhaneta, NH 24, Uttar Pradesh, India"
1929,DANE,DANRE,ER,"Sukhiabarait, Jharkhand, India"
1930,DAO,DAGHORA,SECR,"National Highway 200, Odisha, India"
1931,DAP,DAGMAGPUR,NCR,"NH7, Newarhia, Uttar Pradesh 231304, I.."
1932,DAPD,DAPODI,CR,"Sundar Baug Colony, Dapodi, Pune, Maha.."
1933,DAQ,DAUD KHAN,NCR,"Aligarh, Uttar Pradesh, India"
1934,DAR,DANWAR,NCR,"Danwar, Jharkhand, India"
1935,DARA,DARA,WCR,"Rajasthan, India"
1936,DARI,DHARI JN,WR,"Dhari, Gujarat, India"
1937,DAS,DHASA JN,WR,"State Highway 21, Dhasa, Gujarat, India"
1938,DAU,DAGRU,NR,"Dagru, Punjab, India"
1939,DAV,DEVALGAON AUCHR,SCR,"Parbhani, Maharashtra, India"
1940,DAVC,D A V COLLEGE JALALABAD,NR,"G.G.S.D.A.V.C.College, GGS DAV College.."
1941,DAVJ,D A V COLLEGE JALANDHAR,NR,"D.A.V College, Grand Trunk Rd, Jalandh.."
1942,DAVM,DHANUVACHAPURAM,SR,"Thiruvananthapuram, Kerala, India"
1943,DAYG,DARIYAGANJ,NCR,"Madhya Pradesh 471105, India"
1944,DAZ,DELHI AZADPUR,NR,"Azadpur, New Delhi, Delhi, India"
1945,DB,DABHOI JN,WR,"Dabhoi, Gujarat, India"
1946,DBA,DABRA,NCR,"Dabra, Madhya Pradesh, India"
1947,DBB,DHUBRI,NFR,"Station Road, Bou Bazar, Dhubri, Assam.."
1948,DBD,DEOBAND,NR,"Deoband, Uttar Pradesh, India"
1949,DBEC,DEVBALODA CHRDA,SECR,"Bhilai, Chhattisgarh, India"
1950,DBF,DABPAL,ECOR,"Dantewada, Chhattisgarh, India"
1951,DBG,DARBHANGA JN,ECR,"Darbhanga Junction, Darbhanga, Bihar 8.."
1952,DBHL,DOBH BAHALI,NR,"Taja Majra, Haryana 124001, India"
1953,DBI,DABLI RATHAN,NWR,"Hanumangarh, Rajasthan, India"
1954,DBL,DODBELE,SWR,"Dodbele Railway Station, Karnataka, In.."
1955,DBLA,DABLA,NWR,"Mahendragarh, Haryana, India"
1956,DBLG,DIBLONG,NFR,"Langting, Assam 788832, India"
1957,DBLI,DEBRABANDHAULI H,ECR,"Bihar, India"
1958,DBM,DABOLIM,SWR,"Bogmalo Road, Vasco da Gama, Goa, India"
1959,DBN,DHABLAN,NR,"Dhablan, Punjab, India"
1960,DBNK,DERABABA NANAK,NR,"Dera Baba Nanak Rd, Batala, Punjab, In.."
1961,DBNR,DIBNAPUR H,NER,"Singapur, Karnataka, India"
1962,DBO,DABHODA,WR,"Dabhoda Railway Station, Gujarat, India"
1963,DBP,DEBIPUR,ER,"Debipur, West Bengal, India"
1964,DBR,DABHAURA,NCR,"Dabhaura, Uttar Pradesh, India"
1965,DBRG,DIBRUGARH,NFR,"Khalihamari, Dibrugarh, Assam, India"
1966,DBRT,DIBRUGARH TOWN,NFR,"Dibrugarh Railway Station, Dibrugarh, .."
1967,DBS,DOBBSPET H,SWR,"Dobbspet Railway Station, NH 648, Dobb.."
1968,DBSI,DAYA BASTI,NR,"Main Rohtak Road, Zakhira, New Delhi, .."
1969,DBT,DAKSHIN BARASAT,ER,"Dakshin Barasat, West Bengal, India"
1970,DBU,DODBALLAPUR,SWR,"Doddaballapur, Karnataka, India"
1971,DBV,DABILPUR,SCR,"Debipur, West Bengal, India"
1972,DBW,DUBIA,NFR,"Santipur Deori Gaon, Dubia Bori, Assam.."
1973,DBY,DIGBOI,NFR,"National Highway 38, Assam, India"
1974,DBZ,DHING BAZAR,NFR,"Dhing Bazar Station, Dhing Town, Assam.."
1975,DC,MAGUDANCHAVADI,SR,"Magudanchavadi, Tamil Nadu, India"
1976,DCA,DAMCHARA,NFR,"788817, India"
1977,DCAB,D CABIN,SECR,"D Cabin, Bhilai Charoda, Chhattisgarh .."
1978,DCH,DINHATA COLLEGE H,NFR,"Karishal, West Bengal 736135, India"
1979,DCK,DHANDHUKA,WR,"Dhandhuka, Gujarat, India"
1980,DCP,DAL CHAPRA F,NER,"Ballia, Uttar Pradesh, India"
1981,DCU,DAMALCHERUVU,SCR,"Damalcheruvu, Andhra Pradesh, India"
1982,DCX,DHANIACHHA,ECR,"Chancha Tal, Bagatpur, Varanasi, Uttar.."
1983,DD,DAUND JN,CR,"Daund Railway Station, Daund, Maharash.."
1984,DDA,DURAUNDHA JN,NER,"Siwan, Bihar, India"
1985,DDC,DUM DUM CANT,ER,"3rd Bye Lane, Bediapara, South Dum Dum.."
1986,DDCC,DAUND CHORD LINE,CR,"Girim, Maharashtra, India"
1987,DDCE,DUNDI,WCR,"Dundi Railway Station, Madhya Pradesh,.."
1988,DDCL,DOMBIVLI CONTROL CABIN,CR,
1989,DDD,DHONDHA DIH,NER,"Uttar Pradesh, India"
1990,DDDA,DUDDEDA,SCR,"SH1, Duddeda, Siddipet District State:.."
1991,DDDM,DEEN DAYAL DHAM,NCR,"Farah, Uttar Pradesh, India"
1992,DDE,DONDAICHA,WR,"Dondaicha, Maharashtra, India"
1993,DDGA,DUGDA,ECR,"Dugda, Dugda, Jharkhand 828404, India"
1994,DDGJ,DEEDAR GANJ,ECR,"Sabalpur, Bihar, India"
1995,DDJ,DUM DUM,ER,"Dum Dum, Satpukur, Kolkata, West Benga.."
1996,DDK,DHINDSA,NR,"Dhindsa, Punjab, India"
1997,DDL,DHANDARI KALAN,NR,"Dhandari Kalan, Ludhiana, Punjab, India"
1998,DDM,DAM DIM,NFR,"Jalpaiguri, West Bengal, India"
1999,DDMT,DARIMETA,CR,"Chhindwara, Madhya Pradesh, India"
2000,DDN,DEHRADUN,NR,"Dehradun Railway Station, Govind Nagar.."
2001,DDNA,DUDHAUNDA H,NER,"Dhanauda, Haryana, India"
2002,DDNI,DUDHNOI,NFR,"783124, India"
2003,DDP,DAUDPUR,NER,"Saran, Bihar, India"
2004,DDR,DADAR,WR,"Dadar West, Mumbai, Maharashtra, India"
2005,DDU,PT DEEN DAYAL UPADHYAY JN,ECR,"Mughal Sarai, Uttar Pradesh, India"
2006,DDV,DADHDEVI,WCR,"Rajasthan, India"
2007,DDW,DUDWA,NER,"Paliya-Dudhwa-Chandan Chowki Rd, Uttar.."
2008,DDX,DHAMDHAMIA,ER,"Talegaon Dhamdhere, Maharashtra, India"
2009,DDY,DUDWINDI,NR,"Punjab 144620, India"
2010,DEA,DIARA,ER,"Diara, West Bengal, India"
2011,DEB,DEBAGRAM,ER,"Debagram, West Bengal, India"
2012,DEC,DELHI CANTT,NR,"Delhi Cantonment, New Delhi, Delhi 110.."
2013,DEE,DELHI S ROHILLA,NR,"Sarai Rohilla, New Delhi, Delhi 110007.."
2014,DEEG,DEEG,NCR,"Deeg, Rajasthan, India"
2015,DEG,DELANG,ECOR,"Delang, Orissa, India"
2016,DEHR,DEHU ROAD,CR,"Dehu Road Railway Station, Dehuroad Ca.."
2017,DEL,DENDULURU,SCR,"denduluru, Andhra Pradesh, India"
2018,DELI,DEOLI,CR,"Deoli, Maharashtra 442101, India"
2019,DELO,DEORAKOT,NR,"Faizabad, Uttar Pradesh, India"
2020,DEMU,DEMU,ECR,"Hundru, Jharkhand, India"
2021,DEO,DEOKALI,NER,"Deokali, Uttar Pradesh, India"
2022,DEOR,DIYODAR,WR,"Deodar, St. Johns Wood, Sadduguntepaly.."
2023,DEOS,DEORIA SADAR,NER,"New Colony, Deoria, Uttar Pradesh, India"
2024,DEP,DEPALSAR,NWR,"Churu, Rajasthan, India"
2025,DEPI,DEENAPATTI,ECR,"Rampur, Bihar, India"
2026,DER,DADRI,NCR,"Dadri, Uttar Pradesh, India"
2027,DES,DESARI,ECR,"Desri, Bihar, India"
2028,DET,DET,NWR,"Shivpura, Rajasthan 312901, India"
2029,DEV,DEVARAYI,SWR,"Belgaum, Karnataka, India"
2030,DEW,DEWALGAON,SECR,"Gondia, Maharashtra, India"
2031,DFR,DEOGAN ROAD,ECOR,"Balangir, Orissa, India"
2032,DG,DINDIGUL JN,SR,"Dindigul Junction Railway Station, Din.."
2033,DGA,DIGHWARA,ECR,"Mirpur Bhual, Dighwara, Bihar, India"
2034,DGB,DANDU GOPALAPURARN H,ECOR,"Dandu Gopalapuram Halt, Andhra Pradesh.."
2035,DGBH,DGBH,ECR,"Danapur Main Road, Yadav Colony, Patna.."
2036,DGBZ,DONGRI BUZURG,SECR,"Balaghat, Madhya Pradesh, India"
2037,DGD,DANGIDHAR,WCR,"Gangadhar, Madhya Pradesh, India"
2038,DGDG,DURGADA GATE,SCR,"Durgada Gate Station, Durgada, Andhra .."
2039,DGF,DHANGARIA PH,SER,"Bankura, West Bengal, India"
2040,DGG,DONGARGARH,SECR,"Dongargarh, Chhattisgarh, India"
2041,DGHA,DIGHA FLAG STN,SER,"Digha, New Digha, West Bengal, India"
2042,DGHL,DIGHAL,NR,"MDR 122, Haryana, India"
2043,DGHR,DEOGHAR,ER,"Deoghar, Jharkhand, India"
